prize_index,prize_year,prize_category
670,2023,chemistry
669,2023,economics
668,2023,literature
667,2023,peace
666,2023,physics
665,2023,medicine
664,2022,chemistry
663,2022,economics
662,2022,literature
661,2022,peace
660,2022,physics
659,2022,medicine
658,2021,chemistry
657,2021,economics
656,2021,literature
655,2021,peace
654,2021,physics
653,2021,medicine
652,2020,chemistry
651,2020,economics
650,2020,literature
649,2020,peace
648,2020,physics
647,2020,medicine
646,2019,chemistry
645,2019,economics
644,2019,literature
643,2019,peace
642,2019,physics
641,2019,medicine
640,2018,chemistry
639,2018,economics
638,2018,literature
637,2018,peace
636,2018,physics
635,2018,medicine
634,2017,chemistry
633,2017,economics
632,2017,literature
631,2017,peace
630,2017,physics
629,2017,medicine
628,2016,chemistry
627,2016,economics
626,2016,literature
625,2016,peace
624,2016,physics
623,2016,medicine
622,2015,chemistry
621,2015,economics
620,2015,literature
619,2015,peace
618,2015,physics
617,2015,medicine
616,2014,chemistry
615,2014,economics
614,2014,literature
613,2014,peace
612,2014,physics
611,2014,medicine
610,2013,chemistry
609,2013,economics
608,2013,literature
607,2013,peace
606,2013,physics
605,2013,medicine
604,2012,chemistry
603,2012,economics
602,2012,literature
601,2012,peace
600,2012,physics
599,2012,medicine
598,2011,chemistry
597,2011,economics
596,2011,literature
595,2011,peace
594,2011,physics
593,2011,medicine
592,2010,chemistry
591,2010,economics
590,2010,literature
589,2010,peace
588,2010,physics
587,2010,medicine
586,2009,chemistry
585,2009,economics
584,2009,literature
583,2009,peace
582,2009,physics
581,2009,medicine
580,2008,chemistry
579,2008,economics
578,2008,literature
577,2008,peace
576,2008,physics
575,2008,medicine
574,2007,chemistry
573,2007,economics
572,2007,literature
571,2007,peace
570,2007,physics
569,2007,medicine
568,2006,chemistry
567,2006,economics
566,2006,literature
565,2006,peace
564,2006,physics
563,2006,medicine
562,2005,chemistry
561,2005,economics
560,2005,literature
559,2005,peace
558,2005,physics
557,2005,medicine
556,2004,chemistry
555,2004,economics
554,2004,literature
553,2004,peace
552,2004,physics
551,2004,medicine
550,2003,chemistry
549,2003,economics
548,2003,literature
547,2003,peace
546,2003,physics
545,2003,medicine
544,2002,chemistry
543,2002,economics
542,2002,literature
541,2002,peace
540,2002,physics
539,2002,medicine
538,2001,chemistry
537,2001,economics
536,2001,literature
535,2001,peace
534,2001,physics
533,2001,medicine
532,2000,chemistry
531,2000,economics
530,2000,literature
529,2000,peace
528,2000,physics
527,2000,medicine
526,1999,chemistry
525,1999,economics
524,1999,literature
523,1999,peace
522,1999,physics
521,1999,medicine
520,1998,chemistry
519,1998,economics
518,1998,literature
517,1998,peace
516,1998,physics
515,1998,medicine
514,1997,chemistry
513,1997,economics
512,1997,literature
511,1997,peace
510,1997,physics
509,1997,medicine
508,1996,chemistry
507,1996,economics
506,1996,literature
505,1996,peace
504,1996,physics
503,1996,medicine
502,1995,chemistry
501,1995,economics
500,1995,literature
499,1995,peace
498,1995,physics
497,1995,medicine
496,1994,chemistry
495,1994,economics
494,1994,literature
493,1994,peace
492,1994,physics
491,1994,medicine
490,1993,chemistry
489,1993,economics
488,1993,literature
487,1993,peace
486,1993,physics
485,1993,medicine
484,1992,chemistry
483,1992,economics
482,1992,literature
481,1992,peace
480,1992,physics
479,1992,medicine
478,1991,chemistry
477,1991,economics
476,1991,literature
475,1991,peace
474,1991,physics
473,1991,medicine
472,1990,chemistry
471,1990,economics
470,1990,literature
469,1990,peace
468,1990,physics
467,1990,medicine
466,1989,chemistry
465,1989,economics
464,1989,literature
463,1989,peace
462,1989,physics
461,1989,medicine
460,1988,chemistry
459,1988,economics
458,1988,literature
457,1988,peace
456,1988,physics
455,1988,medicine
454,1987,chemistry
453,1987,economics
452,1987,literature
451,1987,peace
450,1987,physics
449,1987,medicine
448,1986,chemistry
447,1986,economics
446,1986,literature
445,1986,peace
444,1986,physics
443,1986,medicine
442,1985,chemistry
441,1985,economics
440,1985,literature
439,1985,peace
438,1985,physics
437,1985,medicine
436,1984,chemistry
435,1984,economics
434,1984,literature
433,1984,peace
432,1984,physics
431,1984,medicine
430,1983,chemistry
429,1983,economics
428,1983,literature
427,1983,peace
426,1983,physics
425,1983,medicine
424,1982,chemistry
423,1982,economics
422,1982,literature
421,1982,peace
420,1982,physics
419,1982,medicine
418,1981,chemistry
417,1981,economics
416,1981,literature
415,1981,peace
414,1981,physics
413,1981,medicine
412,1980,chemistry
411,1980,economics
410,1980,literature
409,1980,peace
408,1980,physics
407,1980,medicine
406,1979,chemistry
405,1979,economics
404,1979,literature
403,1979,peace
402,1979,physics
401,1979,medicine
400,1978,chemistry
399,1978,economics
398,1978,literature
397,1978,peace
396,1978,physics
395,1978,medicine
394,1977,chemistry
393,1977,economics
392,1977,literature
391,1977,peace
390,1977,physics
389,1977,medicine
388,1976,chemistry
387,1976,economics
386,1976,literature
385,1976,peace
384,1976,physics
383,1976,medicine
382,1975,chemistry
381,1975,economics
380,1975,literature
379,1975,peace
378,1975,physics
377,1975,medicine
376,1974,chemistry
375,1974,economics
374,1974,literature
373,1974,peace
372,1974,physics
371,1974,medicine
370,1973,chemistry
369,1973,economics
368,1973,literature
367,1973,peace
366,1973,physics
365,1973,medicine
364,1972,chemistry
363,1972,economics
362,1972,literature
361,1972,peace
360,1972,physics
359,1972,medicine
358,1971,chemistry
357,1971,economics
356,1971,literature
355,1971,peace
354,1971,physics
353,1971,medicine
352,1970,chemistry
351,1970,economics
350,1970,literature
349,1970,peace
348,1970,physics
347,1970,medicine
346,1969,chemistry
345,1969,economics
344,1969,literature
343,1969,peace
342,1969,physics
341,1969,medicine
340,1968,chemistry
339,1968,literature
338,1968,peace
337,1968,physics
336,1968,medicine
335,1967,chemistry
334,1967,literature
333,1967,peace
332,1967,physics
331,1967,medicine
330,1966,chemistry
329,1966,literature
328,1966,peace
327,1966,physics
326,1966,medicine
325,1965,chemistry
324,1965,literature
323,1965,peace
322,1965,physics
321,1965,medicine
320,1964,chemistry
319,1964,literature
318,1964,peace
317,1964,physics
316,1964,medicine
315,1963,chemistry
314,1963,literature
313,1963,peace
312,1963,physics
311,1963,medicine
310,1962,chemistry
309,1962,literature
308,1962,peace
307,1962,physics
306,1962,medicine
305,1961,chemistry
304,1961,literature
303,1961,peace
302,1961,physics
301,1961,medicine
300,1960,chemistry
299,1960,literature
298,1960,peace
297,1960,physics
296,1960,medicine
295,1959,chemistry
294,1959,literature
293,1959,peace
292,1959,physics
291,1959,medicine
290,1958,chemistry
289,1958,literature
288,1958,peace
287,1958,physics
286,1958,medicine
285,1957,chemistry
284,1957,literature
283,1957,peace
282,1957,physics
281,1957,medicine
280,1956,chemistry
279,1956,literature
278,1956,peace
277,1956,physics
276,1956,medicine
275,1955,chemistry
274,1955,literature
273,1955,peace
272,1955,physics
271,1955,medicine
270,1954,chemistry
269,1954,literature
268,1954,peace
267,1954,physics
266,1954,medicine
265,1953,chemistry
264,1953,literature
263,1953,peace
262,1953,physics
261,1953,medicine
260,1952,chemistry
259,1952,literature
258,1952,peace
257,1952,physics
256,1952,medicine
255,1951,chemistry
254,1951,literature
253,1951,peace
252,1951,physics
251,1951,medicine
250,1950,chemistry
249,1950,literature
248,1950,peace
247,1950,physics
246,1950,medicine
245,1949,chemistry
244,1949,literature
243,1949,peace
242,1949,physics
241,1949,medicine
240,1948,chemistry
239,1948,literature
238,1948,peace
237,1948,physics
236,1948,medicine
235,1947,chemistry
234,1947,literature
233,1947,peace
232,1947,physics
231,1947,medicine
230,1946,chemistry
229,1946,literature
228,1946,peace
227,1946,physics
226,1946,medicine
225,1945,chemistry
224,1945,literature
223,1945,peace
222,1945,physics
221,1945,medicine
220,1944,chemistry
219,1944,literature
218,1944,peace
217,1944,physics
216,1944,medicine
215,1943,chemistry
214,1943,literature
213,1943,peace
212,1943,physics
211,1943,medicine
210,1942,chemistry
209,1942,literature
208,1942,peace
207,1942,physics
206,1942,medicine
205,1941,chemistry
204,1941,literature
203,1941,peace
202,1941,physics
201,1941,medicine
200,1940,chemistry
199,1940,literature
198,1940,peace
197,1940,physics
196,1940,medicine
195,1939,chemistry
194,1939,literature
193,1939,peace
192,1939,physics
191,1939,medicine
190,1938,chemistry
189,1938,literature
188,1938,peace
187,1938,physics
186,1938,medicine
185,1937,chemistry
184,1937,literature
183,1937,peace
182,1937,physics
181,1937,medicine
180,1936,chemistry
179,1936,literature
178,1936,peace
177,1936,physics
176,1936,medicine
175,1935,chemistry
174,1935,literature
173,1935,peace
172,1935,physics
171,1935,medicine
170,1934,chemistry
169,1934,literature
168,1934,peace
167,1934,physics
166,1934,medicine
165,1933,chemistry
164,1933,literature
163,1933,peace
162,1933,physics
161,1933,medicine
160,1932,chemistry
159,1932,literature
158,1932,peace
157,1932,physics
156,1932,medicine
155,1931,chemistry
154,1931,literature
153,1931,peace
152,1931,physics
151,1931,medicine
150,1930,chemistry
149,1930,literature
148,1930,peace
147,1930,physics
146,1930,medicine
145,1929,chemistry
144,1929,literature
143,1929,peace
142,1929,physics
141,1929,medicine
140,1928,chemistry
139,1928,literature
138,1928,peace
137,1928,physics
136,1928,medicine
135,1927,chemistry
134,1927,literature
133,1927,peace
132,1927,physics
131,1927,medicine
130,1926,chemistry
129,1926,literature
128,1926,peace
127,1926,physics
126,1926,medicine
125,1925,chemistry
124,1925,literature
123,1925,peace
122,1925,physics
121,1925,medicine
120,1924,chemistry
119,1924,literature
118,1924,peace
117,1924,physics
116,1924,medicine
115,1923,chemistry
114,1923,literature
113,1923,peace
112,1923,physics
111,1923,medicine
110,1922,chemistry
109,1922,literature
108,1922,peace
107,1922,physics
106,1922,medicine
105,1921,chemistry
104,1921,literature
103,1921,peace
102,1921,physics
101,1921,medicine
100,1920,chemistry
99,1920,literature
98,1920,peace
97,1920,physics
96,1920,medicine
95,1919,chemistry
94,1919,literature
93,1919,peace
92,1919,physics
91,1919,medicine
90,1918,chemistry
89,1918,literature
88,1918,peace
87,1918,physics
86,1918,medicine
85,1917,chemistry
84,1917,literature
83,1917,peace
82,1917,physics
81,1917,medicine
80,1916,chemistry
79,1916,literature
78,1916,peace
77,1916,physics
76,1916,medicine
75,1915,chemistry
74,1915,literature
73,1915,peace
72,1915,physics
71,1915,medicine
70,1914,chemistry
69,1914,literature
68,1914,peace
67,1914,physics
66,1914,medicine
65,1913,chemistry
64,1913,literature
63,1913,peace
62,1913,physics
61,1913,medicine
60,1912,chemistry
59,1912,literature
58,1912,peace
57,1912,physics
56,1912,medicine
55,1911,chemistry
54,1911,literature
53,1911,peace
52,1911,physics
51,1911,medicine
50,1910,chemistry
49,1910,literature
48,1910,peace
47,1910,physics
46,1910,medicine
45,1909,chemistry
44,1909,literature
43,1909,peace
42,1909,physics
41,1909,medicine
40,1908,chemistry
39,1908,literature
38,1908,peace
37,1908,physics
36,1908,medicine
35,1907,chemistry
34,1907,literature
33,1907,peace
32,1907,physics
31,1907,medicine
30,1906,chemistry
29,1906,literature
28,1906,peace
27,1906,physics
26,1906,medicine
25,1905,chemistry
24,1905,literature
23,1905,peace
22,1905,physics
21,1905,medicine
20,1904,chemistry
19,1904,literature
18,1904,peace
17,1904,physics
16,1904,medicine
15,1903,chemistry
14,1903,literature
13,1903,peace
12,1903,physics
11,1903,medicine
10,1902,chemistry
9,1902,literature
8,1902,peace
7,1902,physics
6,1902,medicine
5,1901,chemistry
4,1901,literature
3,1901,peace
2,1901,physics
1,1901,medicine
